,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
Word 0,bill,tax,great,famili,obama,amp,amp,obama,sen,happi,congrat,vote
Word 1,job,read,today,honor,presid,great,join,presid,vt,th,win,day
Word 2,busi,must,thank,job,health,thank,attack,watch,job,thank,good,get
Word 3,amp,cut,tour,american,idpol,staff,libya,live,help,work,olymp,state
Word 4,senat,new,school,today,woman,offic,tune,romney,today,peopl,budget,help
Word 5,need,today,year,senat,need,call,pm,senat,news,time,team,elect
Word 6,act,iowa,student,thought,forward,free,ct,speak,sander,birthday,luck,visit
Word 7,hous,harkin,enjoy,month,care,meet,sandi,talk,vermont,amp,gold,amp
Word 8,small,increas,visit,nation,work,issu,life,debat,new,energi,go,today
Word 9,pa,report,proud,prayer,secur,like,help,tax,amp,today,london,sandi
Word 10,creat,senat,netd,rememb,amp,discu,discu,sen,berni,hard,best,week
Word 11,support,support,ben,work,go,presid,benghazi,middl,veteran,hall,make,pleas
Word 12,vote,one,masen,friend,idaho,today,morn,class,grant,welcom,congratul,aid
Word 13,gop,drug,see,day,back,obama,et,floor,announc,great,medal,need
Word 14,bipartisan,senior,support,obamaeconomi,come,would,look,listen,fund,rt,proud,info
Word 15,reform,american,ranger,victim,look,photo,read,plan,socialsecur,senat,game,make
Word 16,pass,announc,meet,lost,must,feel,day,debt,budget,day,teamusa,offici
Word 17,get,warren,look,unemploy,medicar,visit,violenc,sander,fed,court,way,damag
Word 18,farmer,year,morn,hero,ed,defens,save,trillion,deficit,mani,amp,readi
Word 19,leader,usda,everyon,independ,energi,input,talk,last,feder,town,woman,regist
NumTweet,1417,806,1038,1122,1317,1087,988,1390,883,1135,921,980
D,729,445,455,452,785,468,518,762,707,604,495,505
R,688,361,583,670,532,619,470,628,176,531,426,475
D%,51.4,55.2,43.8,40.3,59.6,43.1,52.4,54.8,80.1,53.2,53.7,51.5
R%,48.6,44.8,56.2,59.7,40.4,56.9,47.6,45.2,19.9,46.8,46.3,48.5
PolarityMean,0.07036096463848757,0.08308960677912276,0.2153709704624933,0.08096453296653824,0.08915908232631845,0.2006721785361393,0.089519723088802,0.07661377261826884,0.09827354498716322,0.1443408987610529,0.2664234310949837,0.12679976882527905
